    -19, FFED, -3.111437
     -1, FFFF, -3.005865
     10, 000A, -2.941349
      4, 0004, -2.976540
     -6, FFFA, -3.035191
    -10, FFF6, -3.058651
    -17, FFEF, -3.099707
    -26, FFE6, -3.152493
    -28, FFE4, -3.164223
    -17, FFEF, -3.099707
      7, 0007, -2.958944
     27, 001B, -2.841642
     34, 0022, -2.800586
     25, 0019, -2.853372
     26, 001A, -2.847507
     44, 002C, -2.741935
     52, 0034, -2.695015
     41, 0029, -2.759531
     25, 0019, -2.853372
     13, 000D, -2.923754
     12, 000C, -2.929619
     19, 0013, -2.888563
     19, 0013, -2.888563
     11, 000B, -2.935484
     11, 000B, -2.935484
     19, 0013, -2.888563
     19, 0013, -2.888563
     18, 0012, -2.894428
     16, 0010, -2.906158
      7, 0007, -2.958944
      4, 0004, -2.976540
     -3, FFFD, -3.017595
    -17, FFEF, -3.099707
    -25, FFE7, -3.146628
    -27, FFE5, -3.158358
    -27, FFE5, -3.158358
    -21, FFEB, -3.123167
    -23, FFE9, -3.134897
    -27, FFE5, -3.158358
    -25, FFE7, -3.146628
    -20, FFEC, -3.117302
    -20, FFEC, -3.117302
    -20, FFEC, -3.117302
     -3, FFFD, -3.017595
     19, 0013, -2.888563
     35, 0023, -2.794721
     52, 0034, -2.695015
     61, 003D, -2.642229
     56, 0038, -2.671554
     55, 0037, -2.677419
     68, 0044, -2.601173
     73, 0049, -2.571847
     65, 0041, -2.618768
     44, 002C, -2.741935
     27, 001B, -2.841642
     25, 0019, -2.853372
     37, 0025, -2.782991
     41, 0029, -2.759531
     37, 0025, -2.782991
     40, 0028, -2.765396
     49, 0031, -2.712610
     50, 0032, -2.706745
     48, 0030, -2.718475
     43, 002B, -2.747801
     27, 001B, -2.841642
      3, 0003, -2.982405
      3, 0003, -2.982405
     37, 0025, -2.782991
     67, 0043, -2.607038
     66, 0042, -2.612903
     48, 0030, -2.718475
     33, 0021, -2.806452
     19, 0013, -2.888563
      2, 0002, -2.988270
    -11, FFF5, -3.064516
    -30, FFE2, -3.175953
    -52, FFCC, -3.304985
    -42, FFD6, -3.246334
     -9, FFF7, -3.052786
     13, 000D, -2.923754
     29, 001D, -2.829912
     34, 0022, -2.800586
     21, 0015, -2.876833
     22, 0016, -2.870968
     35, 0023, -2.794721
     42, 002A, -2.753666
     32, 0020, -2.812317
     18, 0012, -2.894428
     20, 0014, -2.882698
     25, 0019, -2.853372
     20, 0014, -2.882698
      7, 0007, -2.958944
      6, 0006, -2.964809
     17, 0011, -2.900293
     19, 0013, -2.888563
      7, 0007, -2.958944
     -4, FFFC, -3.023460
     -2, FFFE, -3.011730
      0, 0000, -3.000000
    -13, FFF3, -3.076246
    -18, FFEE, -3.105572
    -13, FFF3, -3.076246
    -13, FFF3, -3.076246
    -14, FFF2, -3.082111
    -21, FFEB, -3.123167
    -23, FFE9, -3.134897
    -17, FFEF, -3.099707
      2, 0002, -2.988270
     17, 0011, -2.900293
     19, 0013, -2.888563
     11, 000B, -2.935484
     10, 000A, -2.941349
     17, 0011, -2.900293
     29, 001D, -2.829912
     41, 0029, -2.759531
     43, 002B, -2.747801
     43, 002B, -2.747801
     56, 0038, -2.671554
     66, 0042, -2.612903
     65, 0041, -2.618768
     59, 003B, -2.653959
     49, 0031, -2.712610
     42, 002A, -2.753666
     52, 0034, -2.695015
     71, 0047, -2.583578
     90, 005A, -2.472141
    102, 0066, -2.401760
    101, 0065, -2.407625
     88, 0058, -2.483871
     88, 0058, -2.483871
     97, 0061, -2.431085
     77, 004D, -2.548387
     44, 002C, -2.741935
     25, 0019, -2.853372
     28, 001C, -2.835777
     40, 0028, -2.765396
     52, 0034, -2.695015
     53, 0035, -2.689150
     56, 0038, -2.671554
     67, 0043, -2.607038
     57, 0039, -2.665689
     32, 0020, -2.812317
     36, 0024, -2.788856
     68, 0044, -2.601173
     77, 004D, -2.548387
     69, 0045, -2.595308
     64, 0040, -2.624633
     80, 0050, -2.530792
    102, 0066, -2.401760
    106, 006A, -2.378299
    100, 0064, -2.413490
